DS DISEMINADOS (RESTO)	
AV PAZ (FASNIA)	Avenida Paz (Fasnia)
CL CALLE E (FASNIA)	Calle Aldea
CL ALDEA (FASNIA)	Calle Aldea
CL CALLE D (FASNIA)	Calle Aldea
CL B 23 (ROQUES LOS)	Calle B 23 (Roques los)
CL B 24 (ROQUES LOS)	Calle B 24 (Roques los)
CL B 25 (ROQUES LOS)	Calle B 25 (Roques los)
CL CALLE NUEVE (ZARZA LA)	Calle Calle Nueve (Zarza la)
CL CALLE OCHO (ZARZA LA)	Calle Calle Ocho (Zarza la)
CL CALLE SEIS (ZARZA LA)	Calle Callejón
CL CALLE DIEZ (ZARZA LA)	Calle Callejón
CL CALLE UNO (ZARZA LA)	Calle Callejón
CL CALLE TRES (ZARZA LA)	Calle Callejón
CJ CALLEJON (ZARZA) (ZARZA LA)	Calle Callejón
CL CALLE DOS (ZARZA LA)	Calle Callejón
CL CALVARIO (FASNIA)	Calle Calvario
CL CEMENTERIO (FASNIA)	Calle Cementerio
CL CHICATO (FASNIA)	Calle Chicato (Fasnia)
CL MORRA (FASNIA)	Calle Corujera
CL CORUJERA (ZARZA) (ZARZA LA)	Calle Corujera
CL CORUJERA (FASNIA)	Calle Corujera
CL CRUZ ROQUE (CRUZ DEL ROQUE)	Calle Cruz del Roque
CL DOMINGO GUILLERMO (ZARZA LA)	Calle Domingo Guillermo
CL EMILIANO DIAZ CASTRO (FASNIA)	Calle Emiliano Díaz Castro
CL HOYA MENA (SABINA ALTA)	Calle Hoya Mena
CL HOYO VISTAS (FASNIA)	Calle Hoya Vistas
CL MAYOR (SOMBRERA LA)	Calle La Sombrera
CL SOMBRERA (SOMBRERA LA)	Calle La Sombrera
CL LOMO ANGOSTO (LA ZARZA) (ZARZA LA)	Calle Lomo Angosto
CL LOMO BREZOS (FASNIA)	Calle Lomo Brezos (Fasnia)
CL LOMO BUCIOS (FASNIA)	Calle Lomo Bucios (Fasnia)
CL LOMO GRANDE (SABINA ALTA)	Calle Lomo Grande
CL MARTIN TABARES DE NAVA (FASNIA)	Calle Martín Tabares de Nava
CL MONTAÑA (FASNIA)	Calle Montaña
CL OBISPO PEREZ CACERES (FASNIA)	Calle Obispo Pérez Cáceres
CL PABLO RUIZ PICASSO (FASNIA)	Calle Pablo Ruiz Picasso
CL PIÑA DEL MAR	Calle Piña de Mar
CL SABINA ALTA (SABINA ALTA)	Calle Sabina Alta (Sabina Alta)
CL SAN ISIDRO (SABINA ALTA)	Calle San Isidro
CL SAN JOAQUIN (FASNIA)	Calle San Joaquín
CL ROQUES (LOS ROQUES) (ROQUES LOS)	Calle San Joaquín
CL SINFOROSA (FASNIA)	Calle Sinforosa
CL G (LAS ERAS) (ERAS LAS)	Calle Tártago
CL D (LAS ERAS) (ERAS LAS)	Calle Tártago
CL F (LAS ERAS) (ERAS LAS)	Calle Tártago
CL H (LAS ERAS) (ERAS LAS)	Calle Tártago
CL TARTAGO (ERAS LAS)	Calle Tártago
UR ROQUES LOS (ROQUES LOS)	Calle Urbanización los Roques
CL VARELA (CRUZ DEL ROQUE)	Calle Varela (Cruz del Roque)
CL CALLE A (FASNIA)	Calle el Andén
CL ERAS A (ERAS LAS)	Calle el Balo
CL ERAS B (ERAS LAS)	Calle el Balo
CL BALO EL (ERAS LAS)	Calle el Balo
CL E (LAS ERAS) (ERAS LAS)	Calle el Balo
CL CALLE K (ERAS LAS)	Calle el Callao
CL CALLE CINCO (ZARZA LA)	Calle el Calvario
CL CALVARIO (ZARZA) (ZARZA LA)	Calle el Calvario
CL ERAS CINCO (ERAS LAS)	Calle el Coral
CL EL CORAL (ERAS LAS)	Calle el Coral
CL HOYO (FASNIA)	Calle el Hoyo
CL RINCON (FASNIA)	Calle el Rincón
CL VENENERO (ERAS LAS)	Calle el Venenero
CL ACCESO LAS ERAS (ERAS LAS)	Calle la Ermita
CL LAJA (FASNIA)	Calle la Laja
CL PUNTILLA LA (ERAS LAS)	Calle la Puntilla
CL ERAS UNO (ERAS LAS)	Calle la Unión
CL I (LAS ERAS) (ERAS LAS)	Calle la Unión
CL VERA (FASNIA)	Calle la Vera
CL CALLE SIETE (ZARZA LA)	Calle la Vista
CL ERAS CUATRO (ERAS LAS)	Calle las Ricas
CL ERAS DOS (ERAS LAS)	Calle las Ricas
CL ERAS TRES (ERAS LAS)	Calle las Ricas
CL VISTAS (ZARZA) (ZARZA LA)	Calle las Vistas
CL VISTAS (FASNIA)	Calle las Vistas
CL BANQUITOS LOS (ERAS LAS)	Calle los Banquitos
CL CALETONES LOS (ERAS LAS)	Calle los Caletones
CL EMIGRANTES LOS (ERAS LAS)	Calle los Emigrantes
CL ERAS SIETE (ERAS LAS)	Calle los Emigrantes
CJ CALLEJON (FASNIA)	Calleja/Callejón Callejon (Fasnia)
CL CALLE C (FASNIA)	Callejón Alto
CL CALLE B (FASNIA)	Callejón Alto
CM LOMO CUCHILLO (FASNIA)	Camino Lomo Cuchillo
CL LOMO NEGRO (CRUZ DEL ROQUE)	Camino Lomo Negro
CL PINO GORDO (SOMBRERA LA)	Camino Pino Gordo
CM REAL (FASNIA)	Camino Real
CL CHIFIRA (FASNIA)	Camino de Chifira
CL IGLESIA VIEJA (CRUZ DEL ROQUE)	Camino de la Iglesia Vieja
CL APARTADERO (FASNIA)	Camino de los Apartaderos
LG BARDO VIEJO (CRUZ DEL ROQUE)	Camino del Bardo Viejo
CM BRUZA LA (FASNIA)	Camino/Carmen Bruza la (Fasnia)
CM INES LA (CRUZ DEL ROQUE)	Camino/Carmen Ines la (Cruz del Roque)
CM MORRA VISTA (FASNIA)	Camino/Carmen Morra Vista (Fasnia)
CM LOS CHARCOS (RESTO)	Camino/Carmen los Charcos (Resto)
CR GENERAL DEL SUR (FASNIA)	Carretera General del Sur
CR GENERAL DEL SUR (ZARZA) (ZARZA LA)	Carretera General del Sur
CR ZARZA (ZARZA LA)	Carretera La Zarza
CR ROQUES (FASNIA)	Carretera los Roques
CS CASAS DEL CAMINO REAL	Caserío Casas del Camino Real
CL LOMO TOSE (FASNIA)	Lomo la Tose
MC ABASTOS (RESTO)	Mercado Abastos (Resto)
CL HILARIO MARRERO (ERAS LAS)	Plaza Hilario Marrero
PZ CONSTITUCION (FASNIA)	Plaza de la Constitución
PR SITIO EL (RESTO)	Prolongación/Continuación Sitio el (Resto)
UR P.P. LA HONDURA (ERAS LAS)	Urbanización P.P. la Hondura (Eras las)
